Q13838
P26368
P20810
P98179
Q9BZE1
Q16629
P17931
P16403
Q5T280
Q96PK6
Q01860
Q9HCJ3
P40227
O60763
Q99543
Q13283
Q9H307
Q12986
Q8IYB8
P09382
Q9NS39
Q14152
P79522
Q4G0J3
Q9NZB2
Q9BXY0
Q9Y580
P37108
Q8TB72
P51858
Q8N567
P46087
Q8WV60
P54577
Q9Y3D9
Q6UXG2
P61604
Q07352
Q9Y262
P62308
Q04837
P42704
Q9UQ35
P23588
Q9Y520
P27797
Q9NUL7
P62081
Q15365
P35241
Q15233
O00567
Q9H3H3
P62424
Q96QE5
Q9NR30
O15234
A4D1E9
P09651
Q92665
P08240
P55263
P62847
P22087
P46781
P42766
P15531
Q9BYD6
Q9HAV4
O76094
Q96T37
Q969X6
Q96GQ7
Q14011
Q96PZ0
Q14562
Q7Z2W4
Q14103
Q9H8H2
Q8N163
Q9Y3A4
P60842
Q9H0A0
Q5VV67
Q8IZH2
Q9NUL3
Q9Y6M1
Q96T58
O43719
P13639
P50914
Q9NVP1
P28799
Q9H583
Q12874
Q00341
P09001
Q9Y3F4
Q9Y2X3
Q96D46
Q96K80
Q9ULX6
P21291
P46783
Q9H0J9
Q96T21
Q8IX12
P26583
O00148
Q9H0G5
Q93062
P09913
Q702N8
Q14493
P46199
O15381
Q15637
Q9UKM9
Q9BU76
Q6NZI2
Q9NTZ6
Q8WUA2
Q8WXF1
Q9BRT6
O14647
O43809
Q9BQ39
Q15149
O75131
Q9BYK8
Q6NZY4
Q5JTJ3
P18124
Q15428
Q9BZI7
O75643
Q9Y4C8
Q08945
Q05048
Q9UK59
Q96CP2
Q06830
Q9NXH9
Q5VTL8
Q13243
Q9UN86
P62979
Q15032
Q6ZU64
P22626
P56181
P62937
Q99700
Q8NEF9
Q06265
Q96FQ6
P53597
O75616
Q8NEY8
O60610
O14562
Q8WVV9
Q9UII4
Q9BQG0
P62328
Q8IWS0
O95232
Q9Y2H6
Q9P2N5
P0DMV9
Q2NL82
P13693
Q9BVP2
P38646
Q9NNW5
Q9H0Z9
P12956
P42694
Q8TED0
Q14694
Q9H2Y7
Q6UN15
O60231
P35659
O60832
Q86U42
Q16891
P07355
Q9C0B0
Q96RP9
P14866
Q9Y3I0
P06748
Q5T653
Q07065
Q8IXT5
P10809
Q03701
Q86U38
P52597
P20042
P36542
Q8N3Z6
Q96I24
P11387
Q13148
Q9BVJ6
Q9H972
Q96EP5
Q99729
P08621
P18583
P62258
Q6ZUT6
Q9UHC7
P67809
P04003
Q9BWE0
P62280
Q96P11
O43818
Q9H8H0
Q9Y221
O43896
A0AV96
P18615
P50579
P24928
O00442
Q15269
Q14157
Q8IWR0
O75534
Q08211
Q9NRW3
Q07955
Q8NCA5
P82914
P30876
O43390
Q9BVI4
Q8IXM3
P82979
O75821
A5YKK6
Q9Y324
P55084
O60506
P82675
Q9UKD2
P33240
P47813
Q16666
P23396
Q07666
Q9H3Q1
Q86UK7
Q5F1R6
P16989
Q14444
P07305
Q99613
P27816
Q9BRZ2
Q9BSC4
Q14CZ7
Q9Y3C1
Q16513
P55081
Q9BZZ5
O75607
P05388
Q9H6R4
P39023
P22314
Q8TBF4
P15924
P62826
Q9UMY1
Q9NQ55
Q14789
P62854
Q8NF91
Q05707
P09429
O43432
Q02543
P00966
Q9Y3B4
Q9ULW3
Q13151
Q14692
P10599
Q96CM3
P15311
Q5T3I0
Q5T6F2
Q96A33
O00566
Q14151
Q13242
Q96AG4
Q5JSZ5
O60508
O75319
Q8IYD1
Q8WWM7
Q8N9T8
Q9BYJ9
P61981
Q9P013
P54105
O15213
P51608
O60287
Q96AE4
Q13084
O75691
P57721
O43159
Q15050
P61313
Q86V81
Q9UHB9
O95478
O75127
Q92615
Q15459
Q07954
Q92879
Q15424
Q14498
Q9NX05
Q7Z739
Q13425
P46779
Q9NX24
Q9UNQ2
Q15061
Q6PJT7
Q8NHQ9
Q6P6C2
P62633
Q01130
P52272
Q92499
Q9UJV9
Q96DH6
P84098
P49327
P05198
O95926
P05455
P18077
Q92841
Q9BQ04
Q8TDN6
P31943
Q12849
P78344
P27824
Q9HC36
P78316
Q71RC2
Q14527
Q9NZI8
Q9NPE2
Q15646
Q00688
Q12905
P42696
P06733
Q9Y2W1
P48444
P27635
O43707
P20290
Q9NR56
Q13601
P78346
Q8N684
Q9H7B2
Q9BXJ9
Q9HBL0
P55795
P78332
Q9BRU9
Q13247
Q15056
Q9NWH9
Q8WWY3
P62857
Q9NX07
P46778
Q5T8P6
Q9UGU0
P12270
Q15717
Q7KZI7
P40429
Q2M296
Q9HA38
O76003
Q9Y5J1
P26599
Q9Y5K5
Q7Z6Z7
Q6P158
Q9H7E2
Q9BTD8
P49761
Q9BQ75
Q9NQZ2
P59045
Q96EL2
Q7KZ85
Q68CQ4
Q12873
P60866
P38159
P07900
P62841
Q96SI9
P17844
Q9Y606
P16401
P07585
Q9Y6V7
Q12906
Q13310
Q9ULR0
Q9GZR7
Q9UGI8
O43823
Q9UPT8
Q9NRR4
Q9BWF3
P57723
Q00839
Q9NY93
O95758
P62314
Q9UKV8
Q96CT7
P51114
Q5VZF2
Q8NC60
P84103
O43143
Q86XN8
O15446
Q01081
P02786
Q6IBS0
P15559
Q9NSI8
Q5TAX3
O00411
Q15287
O00541
Q8WXD2
P63165
Q14240
P61764
Q9UPU9
P62805
O76021
Q9BYD3
P42765
Q5JTH9
O75533
Q9Y3T9
Q13895
Q15434
Q9NUK0
Q12788
O43290
Q14137
P62993
Q9NV31
Q15366
Q99575
P08238
Q7L1Q6
O75475
Q14697
Q9UHX1
Q99848
P62310
Q86SE5
Q9NZM5
Q9NYK5
Q9Y4W2
Q9Y4B5
P62753
Q8WVM0
Q9UBU9
Q15427
Q9BXP5
Q15020
Q8WTT2
P55036
P61978
Q13427
P61353
P46109
Q9BRJ6
Q9UGR2
O00178
Q969S3
P62750
Q9H501
P68036
P35637
O00267
Q9Y2Q9
Q9Y6G9
Q8IWZ3
Q12926
Q96EY7
P09874
Q14978
Q9NP92
Q8NI36
O94906
Q9Y3U8
Q9Y3B7
P62269
Q9P275
Q8NE71
P47974
O43399
Q6P2Q9
Q93073
P35611
Q01085
Q9P287
O14776
P47914
O94875
Q8NBP7
P48634
Q9H0L4
P13010
Q9H6S0
Q53EP0
Q86XZ4
P29558
Q02878
P36578
Q14258
Q8IWX8
Q9H6F5
Q9UKA9
Q7L2E3
P31146
Q96EV2
O75179
Q9H9G7
Q14684
P11142
P31948
Q9Y383
P14618
Q9NV06
Q9BYD1
O75683
O75940
Q8TDD1
P29084
Q8N5P1
P35269
P05141
Q9BQ52
P56182
Q9H2U1
O95985
Q86W50
P98175
Q8IY67
Q9Y4Z0
P15170
Q9Y388
P63220
Q9BYC8
